             time             besj_2              besj_3            besj_4               erff                    
               -5                NaN                NaN                NaN                 -1                    
            -4.99                NaN                NaN                NaN                 -1                    
            -4.98                NaN                NaN                NaN                 -1                    
            -4.97                NaN                NaN                NaN                 -1                    
            -4.96                NaN                NaN                NaN                 -1                    
            -4.95                NaN                NaN                NaN                 -1                    
            -4.94                NaN                NaN                NaN                 -1                    
            -4.93                NaN                NaN                NaN                 -1                    
            -4.92                NaN                NaN                NaN                 -1                    
            -4.91                NaN                NaN                NaN                 -1                    
             -4.9                NaN                NaN                NaN                 -1                    
            -4.89                NaN                NaN                NaN                 -1                    
            -4.88                NaN                NaN                NaN                 -1                    
            -4.87                NaN                NaN                NaN                 -1                    
            -4.86                NaN                NaN                NaN                 -1                    
            -4.85                NaN                NaN                NaN                 -1                    
            -4.84                NaN                NaN                NaN                 -1                    
            -4.83                NaN                NaN                NaN                 -1                    
            -4.82                NaN                NaN                NaN                 -1                    
            -4.81                NaN                NaN                NaN                 -1                    
             -4.8                NaN                NaN                NaN                 -1                    
            -4.79                NaN                NaN                NaN                 -1                    
            -4.78                NaN                NaN                NaN                 -1                    
            -4.77                NaN                NaN                NaN                 -1                    
            -4.76                NaN                NaN                NaN                 -1                    
            -4.75                NaN                NaN                NaN                 -1                    
            -4.74                NaN                NaN                NaN                 -1                    
            -4.73                NaN                NaN                NaN                 -1                    
            -4.72                NaN                NaN                NaN                 -1                    
            -4.71                NaN                NaN                NaN                 -1                    
             -4.7                NaN                NaN                NaN                 -1                    
            -4.69                NaN                NaN                NaN                 -1                    
            -4.68                NaN                NaN                NaN                 -1                    
            -4.67                NaN                NaN                NaN                 -1                    
            -4.66                NaN                NaN                NaN                 -1                    
            -4.65                NaN                NaN                NaN                 -1                    
            -4.64                NaN                NaN                NaN                 -1                    
            -4.63                NaN                NaN                NaN                 -1                    
            -4.62                NaN                NaN                NaN                 -1                    
            -4.61                NaN                NaN                NaN                 -1                    
             -4.6                NaN                NaN                NaN                 -1                    
            -4.59                NaN                NaN                NaN                 -1                    
            -4.58                NaN                NaN                NaN                 -1                    
            -4.57                NaN                NaN                NaN                 -1                    
            -4.56                NaN                NaN                NaN                 -1                    
            -4.55                NaN                NaN                NaN                 -1                    
            -4.54                NaN                NaN                NaN                 -1                    
            -4.53                NaN                NaN                NaN                 -1                    
            -4.52                NaN                NaN                NaN                 -1                    
            -4.51                NaN                NaN                NaN                 -1                    
             -4.5                NaN                NaN                NaN                 -1                    
            -4.49                NaN                NaN                NaN                 -1                    
            -4.48                NaN                NaN                NaN                 -1                    
            -4.47                NaN                NaN                NaN                 -1                    
            -4.46                NaN                NaN                NaN                 -1                    
            -4.45                NaN                NaN                NaN                 -1                    
            -4.44                NaN                NaN                NaN                 -1                    
            -4.43                NaN                NaN                NaN                 -1                    
            -4.42                NaN                NaN                NaN                 -1                    
            -4.41                NaN                NaN                NaN                 -1                    
             -4.4                NaN                NaN                NaN                 -1                    
            -4.39                NaN                NaN                NaN                 -1                    
            -4.38                NaN                NaN                NaN                 -1                    
            -4.37                NaN                NaN                NaN                 -1                    
            -4.36                NaN                NaN                NaN                 -1                    
            -4.35                NaN                NaN                NaN                 -1                    
            -4.34                NaN                NaN                NaN                 -1                    
            -4.33                NaN                NaN                NaN                 -1                    
            -4.32                NaN                NaN                NaN                 -1                    
            -4.31                NaN                NaN                NaN                 -1                    
             -4.3                NaN                NaN                NaN                 -1                    
            -4.29                NaN                NaN                NaN                 -1                    
            -4.28                NaN                NaN                NaN                 -1                    
            -4.27                NaN                NaN                NaN                 -1                    
            -4.26                NaN                NaN                NaN                 -1                    
            -4.25                NaN                NaN                NaN                 -1                    
            -4.24                NaN                NaN                NaN                 -1                    
            -4.23                NaN                NaN                NaN                 -1                    
            -4.22                NaN                NaN                NaN                 -1                    
            -4.21                NaN                NaN                NaN                 -1                    
             -4.2                NaN                NaN                NaN                 -1                    
            -4.19                NaN                NaN                NaN                 -1                    
            -4.18                NaN                NaN                NaN                 -1                    
            -4.17                NaN                NaN                NaN                 -1                    
            -4.16                NaN                NaN                NaN                 -1                    
            -4.15                NaN                NaN                NaN                 -1                    
            -4.14                NaN                NaN                NaN                 -1                    
            -4.13                NaN                NaN                NaN                 -1                    
            -4.12                NaN                NaN                NaN                 -1                    
            -4.11                NaN                NaN                NaN                 -1                    
             -4.1                NaN                NaN                NaN                 -1                    
            -4.09                NaN                NaN                NaN                 -1                    
            -4.08                NaN                NaN                NaN                 -1                    
            -4.07                NaN                NaN                NaN                 -1                    
            -4.06                NaN                NaN                NaN                 -1                    
            -4.05                NaN                NaN                NaN                 -1                    
            -4.04                NaN                NaN                NaN                 -1                    
            -4.03                NaN                NaN                NaN                 -1                    
            -4.02                NaN                NaN                NaN                 -1                    
            -4.01                NaN                NaN                NaN                 -1                    
               -4                NaN                NaN                NaN                 -1                    
            -3.99                NaN                NaN                NaN                 -1                    
            -3.98                NaN                NaN                NaN                 -1                    
            -3.97                NaN                NaN                NaN                 -1                    
            -3.96                NaN                NaN                NaN                 -1                    
            -3.95                NaN                NaN                NaN                 -1                    
            -3.94                NaN                NaN                NaN                 -1                    
            -3.93                NaN                NaN                NaN                 -1                    
            -3.92                NaN                NaN                NaN                 -1                    
            -3.91                NaN                NaN                NaN                 -1                    
             -3.9                NaN                NaN                NaN                 -1                    
            -3.89                NaN                NaN                NaN                 -1                    
            -3.88                NaN                NaN                NaN                 -1                    
            -3.87                NaN                NaN                NaN                 -1                    
            -3.86                NaN                NaN                NaN                 -1                    
            -3.85                NaN                NaN                NaN                 -1                    
            -3.84                NaN                NaN                NaN                 -1                    
            -3.83                NaN                NaN                NaN                 -1                    
            -3.82                NaN                NaN                NaN                 -1                    
            -3.81                NaN                NaN                NaN                 -1                    
             -3.8                NaN                NaN                NaN                 -1                    
            -3.79                NaN                NaN                NaN                 -1                    
            -3.78                NaN                NaN                NaN                 -1                    
            -3.77                NaN                NaN                NaN                 -1                    
            -3.76                NaN                NaN                NaN                 -1                    
            -3.75                NaN                NaN                NaN                 -1                    
            -3.74                NaN                NaN                NaN                 -1                    
            -3.73                NaN                NaN                NaN                 -1                    
            -3.72                NaN                NaN                NaN                 -1                    
            -3.71                NaN                NaN                NaN                 -1                    
             -3.7                NaN                NaN                NaN                 -1                    
            -3.69                NaN                NaN                NaN                 -1                    
            -3.68                NaN                NaN                NaN                 -1                    
            -3.67                NaN                NaN                NaN                 -1                    
            -3.66                NaN                NaN                NaN                 -1                    
            -3.65                NaN                NaN                NaN                 -1                    
            -3.64                NaN                NaN                NaN                 -1                    
            -3.63                NaN                NaN                NaN                 -1                    
            -3.62                NaN                NaN                NaN                 -1                    
            -3.61                NaN                NaN                NaN                 -1                    
             -3.6                NaN                NaN                NaN                 -1                    
            -3.59                NaN                NaN                NaN                 -1                    
            -3.58                NaN                NaN                NaN                 -1                    
            -3.57                NaN                NaN                NaN                 -1                    
            -3.56                NaN                NaN                NaN                 -1                    
            -3.55                NaN                NaN                NaN          -0.999999                    
            -3.54                NaN                NaN                NaN          -0.999999                    
            -3.53                NaN                NaN                NaN          -0.999999                    
            -3.52                NaN                NaN                NaN          -0.999999                    
            -3.51                NaN                NaN                NaN          -0.999999                    
             -3.5                NaN                NaN                NaN          -0.999999                    
            -3.49                NaN                NaN                NaN          -0.999999                    
            -3.48                NaN                NaN                NaN          -0.999999                    
            -3.47                NaN                NaN                NaN          -0.999999                    
            -3.46                NaN                NaN                NaN          -0.999999                    
            -3.45                NaN                NaN                NaN          -0.999999                    
            -3.44                NaN                NaN                NaN          -0.999999                    
            -3.43                NaN                NaN                NaN          -0.999999                    
            -3.42                NaN                NaN                NaN          -0.999999                    
            -3.41                NaN                NaN                NaN          -0.999999                    
             -3.4                NaN                NaN                NaN          -0.999998                    
            -3.39                NaN                NaN                NaN          -0.999998                    
            -3.38                NaN                NaN                NaN          -0.999998                    
            -3.37                NaN                NaN                NaN          -0.999998                    
            -3.36                NaN                NaN                NaN          -0.999998                    
            -3.35                NaN                NaN                NaN          -0.999998                    
            -3.34                NaN                NaN                NaN          -0.999998                    
            -3.33                NaN                NaN                NaN          -0.999997                    
            -3.32                NaN                NaN                NaN          -0.999997                    
            -3.31                NaN                NaN                NaN          -0.999997                    
             -3.3                NaN                NaN                NaN          -0.999997                    
            -3.29                NaN                NaN                NaN          -0.999997                    
            -3.28                NaN                NaN                NaN          -0.999996                    
            -3.27                NaN                NaN                NaN          -0.999996                    
            -3.26                NaN                NaN                NaN          -0.999996                    
            -3.25                NaN                NaN                NaN          -0.999996                    
            -3.24                NaN                NaN                NaN          -0.999995                    
            -3.23                NaN                NaN                NaN          -0.999995                    
            -3.22                NaN                NaN                NaN          -0.999995                    
            -3.21                NaN                NaN                NaN          -0.999994                    
             -3.2                NaN                NaN                NaN          -0.999994                    
            -3.19                NaN                NaN                NaN          -0.999994                    
            -3.18                NaN                NaN                NaN          -0.999993                    
            -3.17                NaN                NaN                NaN          -0.999993                    
            -3.16                NaN                NaN                NaN          -0.999992                    
            -3.15                NaN                NaN                NaN          -0.999992                    
            -3.14                NaN                NaN                NaN          -0.999991                    
            -3.13                NaN                NaN                NaN           -0.99999                    
            -3.12                NaN                NaN                NaN           -0.99999                    
            -3.11                NaN                NaN                NaN          -0.999989                    
             -3.1                NaN                NaN                NaN          -0.999988                    
            -3.09                NaN                NaN                NaN          -0.999988                    
            -3.08                NaN                NaN                NaN          -0.999987                    
            -3.07                NaN                NaN                NaN          -0.999986                    
            -3.06                NaN                NaN                NaN          -0.999985                    
            -3.05                NaN                NaN                NaN          -0.999984                    
            -3.04                NaN                NaN                NaN          -0.999983                    
            -3.03                NaN                NaN                NaN          -0.999982                    
            -3.02                NaN                NaN                NaN          -0.999981                    
            -3.01                NaN                NaN                NaN          -0.999979                    
               -3                NaN                NaN                NaN          -0.999978                    
            -2.99                NaN                NaN                NaN          -0.999976                    
            -2.98                NaN                NaN                NaN          -0.999975                    
            -2.97                NaN                NaN                NaN          -0.999973                    
            -2.96                NaN                NaN                NaN          -0.999972                    
            -2.95                NaN                NaN                NaN           -0.99997                    
            -2.94                NaN                NaN                NaN          -0.999968                    
            -2.93                NaN                NaN                NaN          -0.999966                    
            -2.92                NaN                NaN                NaN          -0.999964                    
            -2.91                NaN                NaN                NaN          -0.999961                    
             -2.9                NaN                NaN                NaN          -0.999959                    
            -2.89                NaN                NaN                NaN          -0.999956                    
            -2.88                NaN                NaN                NaN          -0.999954                    
            -2.87                NaN                NaN                NaN          -0.999951                    
            -2.86                NaN                NaN                NaN          -0.999948                    
            -2.85                NaN                NaN                NaN          -0.999944                    
            -2.84                NaN                NaN                NaN          -0.999941                    
            -2.83                NaN                NaN                NaN          -0.999937                    
            -2.82                NaN                NaN                NaN          -0.999933                    
            -2.81                NaN                NaN                NaN          -0.999929                    
             -2.8                NaN                NaN                NaN          -0.999925                    
            -2.79                NaN                NaN                NaN           -0.99992                    
            -2.78                NaN                NaN                NaN          -0.999916                    
            -2.77                NaN                NaN                NaN           -0.99991                    
            -2.76                NaN                NaN                NaN          -0.999905                    
            -2.75                NaN                NaN                NaN          -0.999899                    
            -2.74                NaN                NaN                NaN          -0.999893                    
            -2.73                NaN                NaN                NaN          -0.999887                    
            -2.72                NaN                NaN                NaN           -0.99988                    
            -2.71                NaN                NaN                NaN          -0.999873                    
             -2.7                NaN                NaN                NaN          -0.999866                    
            -2.69                NaN                NaN                NaN          -0.999858                    
            -2.68                NaN                NaN                NaN          -0.999849                    
            -2.67                NaN                NaN                NaN          -0.999841                    
            -2.66                NaN                NaN                NaN          -0.999831                    
            -2.65                NaN                NaN                NaN          -0.999821                    
            -2.64                NaN                NaN                NaN          -0.999811                    
            -2.63                NaN                NaN                NaN            -0.9998                    
            -2.62                NaN                NaN                NaN          -0.999789                    
            -2.61                NaN                NaN                NaN          -0.999777                    
             -2.6                NaN                NaN                NaN          -0.999764                    
            -2.59                NaN                NaN                NaN          -0.999751                    
            -2.58                NaN                NaN                NaN          -0.999736                    
            -2.57                NaN                NaN                NaN          -0.999722                    
            -2.56                NaN                NaN                NaN          -0.999706                    
            -2.55                NaN                NaN                NaN          -0.999689                    
            -2.54                NaN                NaN                NaN          -0.999672                    
            -2.53                NaN                NaN                NaN          -0.999654                    
            -2.52                NaN                NaN                NaN          -0.999635                    
            -2.51                NaN                NaN                NaN          -0.999614                    
             -2.5                NaN                NaN                NaN          -0.999593                    
            -2.49                NaN                NaN                NaN          -0.999571                    
            -2.48                NaN                NaN                NaN          -0.999547                    
            -2.47                NaN                NaN                NaN          -0.999523                    
            -2.46                NaN                NaN                NaN          -0.999497                    
            -2.45                NaN                NaN                NaN          -0.999469                    
            -2.44                NaN                NaN                NaN          -0.999441                    
            -2.43                NaN                NaN                NaN          -0.999411                    
            -2.42                NaN                NaN                NaN          -0.999379                    
            -2.41                NaN                NaN                NaN          -0.999346                    
             -2.4                NaN                NaN                NaN          -0.999312                    
            -2.39                NaN                NaN                NaN          -0.999275                    
            -2.38                NaN                NaN                NaN          -0.999237                    
            -2.37                NaN                NaN                NaN          -0.999197                    
            -2.36                NaN                NaN                NaN          -0.999155                    
            -2.35                NaN                NaN                NaN          -0.999111                    
            -2.34                NaN                NaN                NaN          -0.999065                    
            -2.33                NaN                NaN                NaN          -0.999016                    
            -2.32                NaN                NaN                NaN          -0.998966                    
            -2.31                NaN                NaN                NaN          -0.998912                    
             -2.3                NaN                NaN                NaN          -0.998857                    
            -2.29                NaN                NaN                NaN          -0.998799                    
            -2.28                NaN                NaN                NaN          -0.998738                    
            -2.27                NaN                NaN                NaN          -0.998674                    
            -2.26                NaN                NaN                NaN          -0.998607                    
            -2.25                NaN                NaN                NaN          -0.998537                    
            -2.24                NaN                NaN                NaN          -0.998464                    
            -2.23                NaN                NaN                NaN          -0.998388                    
            -2.22                NaN                NaN                NaN          -0.998308                    
            -2.21                NaN                NaN                NaN          -0.998224                    
             -2.2                NaN                NaN                NaN          -0.998137                    
            -2.19                NaN                NaN                NaN          -0.998046                    
            -2.18                NaN                NaN                NaN          -0.997951                    
            -2.17                NaN                NaN                NaN          -0.997851                    
            -2.16                NaN                NaN                NaN          -0.997747                    
            -2.15                NaN                NaN                NaN          -0.997639                    
            -2.14                NaN                NaN                NaN          -0.997525                    
            -2.13                NaN                NaN                NaN          -0.997407                    
            -2.12                NaN                NaN                NaN          -0.997284                    
            -2.11                NaN                NaN                NaN          -0.997155                    
             -2.1                NaN                NaN                NaN          -0.997021                    
            -2.09                NaN                NaN                NaN           -0.99688                    
            -2.08                NaN                NaN                NaN          -0.996734                    
            -2.07                NaN                NaN                NaN          -0.996582                    
            -2.06                NaN                NaN                NaN          -0.996423                    
            -2.05                NaN                NaN                NaN          -0.996258                    
            -2.04                NaN                NaN                NaN          -0.996086                    
            -2.03                NaN                NaN                NaN          -0.995906                    
            -2.02                NaN                NaN                NaN          -0.995719                    
            -2.01                NaN                NaN                NaN          -0.995525                    
               -2                NaN                NaN                NaN          -0.995322                    
            -1.99                NaN                NaN                NaN          -0.995111                    
            -1.98                NaN                NaN                NaN          -0.994892                    
            -1.97                NaN                NaN                NaN          -0.994664                    
            -1.96                NaN                NaN                NaN          -0.994426                    
            -1.95                NaN                NaN                NaN          -0.994179                    
            -1.94                NaN                NaN                NaN          -0.993923                    
            -1.93                NaN                NaN                NaN          -0.993656                    
            -1.92                NaN                NaN                NaN          -0.993378                    
            -1.91                NaN                NaN                NaN           -0.99309                    
             -1.9                NaN                NaN                NaN           -0.99279                    
            -1.89                NaN                NaN                NaN          -0.992479                    
            -1.88                NaN                NaN                NaN          -0.992156                    
            -1.87                NaN                NaN                NaN          -0.991821                    
            -1.86                NaN                NaN                NaN          -0.991472                    
            -1.85                NaN                NaN                NaN          -0.991111                    
            -1.84                NaN                NaN                NaN          -0.990736                    
            -1.83                NaN                NaN                NaN          -0.990347                    
            -1.82                NaN                NaN                NaN          -0.989943                    
            -1.81                NaN                NaN                NaN          -0.989525                    
             -1.8                NaN                NaN                NaN          -0.989091                    
            -1.79                NaN                NaN                NaN          -0.988641                    
            -1.78                NaN                NaN                NaN          -0.988174                    
            -1.77                NaN                NaN                NaN          -0.987691                    
            -1.76                NaN                NaN                NaN           -0.98719                    
            -1.75                NaN                NaN                NaN          -0.986672                    
            -1.74                NaN                NaN                NaN          -0.986135                    
            -1.73                NaN                NaN                NaN          -0.985578                    
            -1.72                NaN                NaN                NaN          -0.985003                    
            -1.71                NaN                NaN                NaN          -0.984407                    
             -1.7                NaN                NaN                NaN           -0.98379                    
            -1.69                NaN                NaN                NaN          -0.983153                    
            -1.68                NaN                NaN                NaN          -0.982493                    
            -1.67                NaN                NaN                NaN           -0.98181                    
            -1.66                NaN                NaN                NaN          -0.981105                    
            -1.65                NaN                NaN                NaN          -0.980376                    
            -1.64                NaN                NaN                NaN          -0.979622                    
            -1.63                NaN                NaN                NaN          -0.978843                    
            -1.62                NaN                NaN                NaN          -0.978038                    
            -1.61                NaN                NaN                NaN          -0.977207                    
             -1.6                NaN                NaN                NaN          -0.976348                    
            -1.59                NaN                NaN                NaN          -0.975462                    
            -1.58                NaN                NaN                NaN          -0.974547                    
            -1.57                NaN                NaN                NaN          -0.973603                    
            -1.56                NaN                NaN                NaN          -0.972628                    
            -1.55                NaN                NaN                NaN          -0.971623                    
            -1.54                NaN                NaN                NaN          -0.970586                    
            -1.53                NaN                NaN                NaN          -0.969516                    
            -1.52                NaN                NaN                NaN          -0.968413                    
            -1.51                NaN                NaN                NaN          -0.967277                    
             -1.5                NaN                NaN                NaN          -0.966105                    
            -1.49                NaN                NaN                NaN          -0.964898                    
            -1.48                NaN                NaN                NaN          -0.963654                    
            -1.47                NaN                NaN                NaN          -0.962373                    
            -1.46                NaN                NaN                NaN          -0.961053                    
            -1.45                NaN                NaN                NaN          -0.959695                    
            -1.44                NaN                NaN                NaN          -0.958297                    
            -1.43                NaN                NaN                NaN          -0.956857                    
            -1.42                NaN                NaN                NaN          -0.955376                    
            -1.41                NaN                NaN                NaN          -0.953852                    
             -1.4                NaN                NaN                NaN          -0.952285                    
            -1.39                NaN                NaN                NaN          -0.950673                    
            -1.38                NaN                NaN                NaN          -0.949016                    
            -1.37                NaN                NaN                NaN          -0.947312                    
            -1.36                NaN                NaN                NaN          -0.945561                    
            -1.35                NaN                NaN                NaN          -0.943762                    
            -1.34                NaN                NaN                NaN          -0.941914                    
            -1.33                NaN                NaN                NaN          -0.940015                    
            -1.32                NaN                NaN                NaN          -0.938065                    
            -1.31                NaN                NaN                NaN          -0.936063                    
             -1.3                NaN                NaN                NaN          -0.934008                    
            -1.29                NaN                NaN                NaN          -0.931899                    
            -1.28                NaN                NaN                NaN          -0.929734                    
            -1.27                NaN                NaN                NaN          -0.927514                    
            -1.26                NaN                NaN                NaN          -0.925236                    
            -1.25                NaN                NaN                NaN            -0.9229                    
            -1.24                NaN                NaN                NaN          -0.920505                    
            -1.23                NaN                NaN                NaN           -0.91805                    
            -1.22                NaN                NaN                NaN          -0.915534                    
            -1.21                NaN                NaN                NaN          -0.912956                    
             -1.2                NaN                NaN                NaN          -0.910314                    
            -1.19                NaN                NaN                NaN          -0.907608                    
            -1.18                NaN                NaN                NaN          -0.904837                    
            -1.17                NaN                NaN                NaN             -0.902                    
            -1.16                NaN                NaN                NaN          -0.899096                    
            -1.15                NaN                NaN                NaN          -0.896124                    
            -1.14                NaN                NaN                NaN          -0.893082                    
            -1.13                NaN                NaN                NaN          -0.889971                    
            -1.12                NaN                NaN                NaN          -0.886788                    
            -1.11                NaN                NaN                NaN          -0.883533                    
             -1.1                NaN                NaN                NaN          -0.880205                    
            -1.09                NaN                NaN                NaN          -0.876803                    
            -1.08                NaN                NaN                NaN          -0.873326                    
            -1.07                NaN                NaN                NaN          -0.869773                    
            -1.06                NaN                NaN                NaN          -0.866144                    
            -1.05                NaN                NaN                NaN          -0.862436                    
            -1.04                NaN                NaN                NaN           -0.85865                    
            -1.03                NaN                NaN                NaN          -0.854784                    
            -1.02                NaN                NaN                NaN          -0.850838                    
            -1.01                NaN                NaN                NaN          -0.846811                    
               -1                NaN                NaN                NaN          -0.842701                    
            -0.99                NaN                NaN                NaN          -0.838508                    
            -0.98                NaN                NaN                NaN          -0.834231                    
            -0.97                NaN                NaN                NaN           -0.82987                    
            -0.96                NaN                NaN                NaN          -0.825424                    
            -0.95                NaN                NaN                NaN          -0.820891                    
            -0.94                NaN                NaN                NaN          -0.816271                    
            -0.93                NaN                NaN                NaN          -0.811564                    
            -0.92                NaN                NaN                NaN          -0.806768                    
            -0.91                NaN                NaN                NaN          -0.801883                    
             -0.9                NaN                NaN                NaN          -0.796908                    
            -0.89                NaN                NaN                NaN          -0.791843                    
            -0.88                NaN                NaN                NaN          -0.786687                    
            -0.87                NaN                NaN                NaN           -0.78144                    
            -0.86                NaN                NaN                NaN            -0.7761                    
            -0.85                NaN                NaN                NaN          -0.770668                    
            -0.84                NaN                NaN                NaN          -0.765143                    
            -0.83                NaN                NaN                NaN          -0.759524                    
            -0.82                NaN                NaN                NaN          -0.753811                    
            -0.81                NaN                NaN                NaN          -0.748003                    
             -0.8                NaN                NaN                NaN          -0.742101                    
            -0.79                NaN                NaN                NaN          -0.736103                    
            -0.78                NaN                NaN                NaN           -0.73001                    
            -0.77                NaN                NaN                NaN          -0.723822                    
            -0.76                NaN                NaN                NaN          -0.717537                    
            -0.75                NaN                NaN                NaN          -0.711156                    
            -0.74                NaN                NaN                NaN          -0.704678                    
            -0.73                NaN                NaN                NaN          -0.698104                    
            -0.72                NaN                NaN                NaN          -0.691433                    
            -0.71                NaN                NaN                NaN          -0.684666                    
             -0.7                NaN                NaN                NaN          -0.677801                    
            -0.69                NaN                NaN                NaN           -0.67084                    
            -0.68                NaN                NaN                NaN          -0.663782                    
            -0.67                NaN                NaN                NaN          -0.656628                    
            -0.66                NaN                NaN                NaN          -0.649377                    
            -0.65                NaN                NaN                NaN          -0.642029                    
            -0.64                NaN                NaN                NaN          -0.634586                    
            -0.63                NaN                NaN                NaN          -0.627046                    
            -0.62                NaN                NaN                NaN          -0.619411                    
            -0.61                NaN                NaN                NaN          -0.611681                    
             -0.6                NaN                NaN                NaN          -0.603856                    
            -0.59                NaN                NaN                NaN          -0.595936                    
            -0.58                NaN                NaN                NaN          -0.587923                    
            -0.57                NaN                NaN                NaN          -0.579816                    
            -0.56                NaN                NaN                NaN          -0.571616                    
            -0.55                NaN                NaN                NaN          -0.563323                    
            -0.54                NaN                NaN                NaN          -0.554939                    
            -0.53                NaN                NaN                NaN          -0.546464                    
            -0.52                NaN                NaN                NaN          -0.537899                    
            -0.51                NaN                NaN                NaN          -0.529244                    
             -0.5                NaN                NaN                NaN            -0.5205                    
            -0.49                NaN                NaN                NaN          -0.511668                    
            -0.48                NaN                NaN                NaN           -0.50275                    
            -0.47                NaN                NaN                NaN          -0.493745                    
            -0.46                NaN                NaN                NaN          -0.484655                    
            -0.45                NaN                NaN                NaN          -0.475482                    
            -0.44                NaN                NaN                NaN          -0.466225                    
            -0.43                NaN                NaN                NaN          -0.456887                    
            -0.42                NaN                NaN                NaN          -0.447468                    
            -0.41                NaN                NaN                NaN          -0.437969                    
             -0.4                NaN                NaN                NaN          -0.428392                    
            -0.39                NaN                NaN                NaN          -0.418739                    
            -0.38                NaN                NaN                NaN          -0.409009                    
            -0.37                NaN                NaN                NaN          -0.399206                    
            -0.36                NaN                NaN                NaN           -0.38933                    
            -0.35                NaN                NaN                NaN          -0.379382                    
            -0.34                NaN                NaN                NaN          -0.369365                    
            -0.33                NaN                NaN                NaN          -0.359279                    
            -0.32                NaN                NaN                NaN          -0.349126                    
            -0.31                NaN                NaN                NaN          -0.338908                    
             -0.3                NaN                NaN                NaN          -0.328627                    
            -0.29                NaN                NaN                NaN          -0.318283                    
            -0.28                NaN                NaN                NaN           -0.30788                    
            -0.27                NaN                NaN                NaN          -0.297418                    
            -0.26                NaN                NaN                NaN            -0.2869                    
            -0.25                NaN                NaN                NaN          -0.276326                    
            -0.24                NaN                NaN                NaN            -0.2657                    
            -0.23                NaN                NaN                NaN          -0.255023                    
            -0.22                NaN                NaN                NaN          -0.244296                    
            -0.21                NaN                NaN                NaN          -0.233522                    
             -0.2                NaN                NaN                NaN          -0.222703                    
            -0.19                NaN                NaN                NaN           -0.21184                    
            -0.18                NaN                NaN                NaN          -0.200936                    
            -0.17                NaN                NaN                NaN          -0.189992                    
            -0.16                NaN                NaN                NaN          -0.179012                    
            -0.15                NaN                NaN                NaN          -0.167996                    
            -0.14                NaN                NaN                NaN          -0.156947                    
            -0.13                NaN                NaN                NaN          -0.145867                    
            -0.12                NaN                NaN                NaN          -0.134758                    
            -0.11                NaN                NaN                NaN          -0.123623                    
             -0.1                NaN                NaN                NaN          -0.112463                    
            -0.09                NaN                NaN                NaN          -0.101281                    
            -0.08                NaN                NaN                NaN         -0.0900781                    
            -0.07                NaN                NaN                NaN         -0.0788577                    
            -0.06                NaN                NaN                NaN         -0.0676216                    
            -0.05                NaN                NaN                NaN          -0.056372                    
            -0.04                NaN                NaN                NaN         -0.0451111                    
            -0.03                NaN                NaN                NaN         -0.0338412                    
            -0.02                NaN                NaN                NaN         -0.0225646                    
            -0.01                NaN                NaN                NaN         -0.0112834                    
                0                  0                  0                  0                  0                    
             0.01                NaN                NaN                NaN          0.0112834                    
             0.02                NaN                NaN                NaN          0.0225646                    
             0.03                NaN                NaN                NaN          0.0338412                    
             0.04                NaN                NaN                NaN          0.0451111                    
             0.05                NaN                NaN                NaN           0.056372                    
             0.06                NaN                NaN                NaN          0.0676216                    
             0.07                NaN                NaN                NaN          0.0788577                    
             0.08                NaN                NaN                NaN          0.0900781                    
             0.09                NaN                NaN                NaN           0.101281                    
              0.1         0.00124896        2.08203e-05        2.60286e-07           0.112463                    
             0.11                NaN                NaN                NaN           0.123623                    
             0.12                NaN                NaN                NaN           0.134758                    
             0.13                NaN                NaN                NaN           0.145867                    
             0.14                NaN                NaN                NaN           0.156947                    
             0.15                NaN                NaN                NaN           0.167996                    
             0.16                NaN                NaN                NaN           0.179012                    
             0.17                NaN                NaN                NaN           0.189992                    
             0.18                NaN                NaN                NaN           0.200936                    
             0.19                NaN                NaN                NaN            0.21184                    
              0.2         0.00498335         0.00016625        4.15834e-06           0.222703                    
             0.21                NaN                NaN                NaN           0.233522                    
             0.22                NaN                NaN                NaN           0.244296                    
             0.23                NaN                NaN                NaN           0.255023                    
             0.24                NaN                NaN                NaN             0.2657                    
             0.25                NaN                NaN                NaN           0.276326                    
             0.26                NaN                NaN                NaN             0.2869                    
             0.27                NaN                NaN                NaN           0.297418                    
             0.28                NaN                NaN                NaN            0.30788                    
             0.29                NaN                NaN                NaN           0.318283                    
              0.3          0.0111659        0.000559343         2.0999e-05           0.328627                    
             0.31                NaN                NaN                NaN           0.338908                    
             0.32                NaN                NaN                NaN           0.349126                    
             0.33                NaN                NaN                NaN           0.359279                    
             0.34                NaN                NaN                NaN           0.369365                    
             0.35                NaN                NaN                NaN           0.379382                    
             0.36                NaN                NaN                NaN            0.38933                    
             0.37                NaN                NaN                NaN           0.399206                    
             0.38                NaN                NaN                NaN           0.409009                    
             0.39                NaN                NaN                NaN           0.418739                    
              0.4          0.0197347         0.00132005        6.61351e-05           0.428392                    
             0.41                NaN                NaN                NaN           0.437969                    
             0.42                NaN                NaN                NaN           0.447468                    
             0.43                NaN                NaN                NaN           0.456887                    
             0.44                NaN                NaN                NaN           0.466225                    
             0.45                NaN                NaN                NaN           0.475482                    
