velocity, maxwell_300, maxwell_600, maxwell_1500
velocity, Maxwell distribution for 300 m/s velocity, Maxwell distribution for 600 m/s velocity, Maxwell distribution for 1500 m/s velocity
m/s, units? , units?, units?
2, 1.47565908636e-07, 5.21730994468e-08, 1.31989681679e-08
4, 5.90218012094e-07, 2.08684332541e-07, 5.27950565105e-08
6, 1.32781946065e-06, 4.69509505104e-07, 1.18785816607e-07
8, 2.36014223021e-06, 8.346082987e-07, 2.11167167966e-07
10, 3.68686721037e-06, 1.30392427842e-06, 3.29933398343e-07
12, 5.30758432779e-06, 1.8773849038e-06, 4.75077164178e-07
14, 7.22179270456e-06, 2.55490154282e-06, 6.46589491167e-07
16, 9.42890085167e-06, 3.33636948904e-06, 8.44459774952e-07
18, 1.19282268975e-05, 4.22166798182e-06, 1.06867578194e-06
20, 1.4718998851e-05, 5.21066022962e-06, 1.31922365027e-06
22, 1.78003548999e-05, 6.30319343648e-06, 1.59608789083e-06
24, 2.11713437429e-05, 7.49909883146e-06, 1.89925138852e-06
26, 2.48309249571e-05, 8.79819170125e-06, 2.22869540352e-06
28, 2.87779693988e-05, 1.02002714258e-05, 2.58439957279e-06
30, 3.30112596394e-05, 1.17051215172e-05, 2.96634191159e-06
32, 3.75294904337e-05, 1.33125096611e-05, 3.3744988152e-06
34, 4.23312692235e-05, 1.50221877618e-05, 3.80884506077e-06
36, 4.74151166729e-05, 1.68338919903e-05, 4.26935380922e-06
38, 5.27794672383e-05, 1.87473428345e-05, 4.75599660735e-06
40, 5.84226697699e-05, 2.07622451537e-05, 5.26874339002e-06
42, 6.43429881465e-05, 2.28782882353e-05, 5.80756248248e-06
44, 7.05386019427e-05, 2.50951458546e-05, 6.3724206028e-06
46, 7.70076071271e-05, 2.74124763377e-05, 6.96328286446e-06
48, 8.37480167934e-05, 2.9829922627e-05, 7.58011277903e-06
50, 9.07577619217e-05, 3.23471123504e-05, 8.22287225898e-06
52, 9.80346921709e-05, 3.49636578926e-05, 8.89152162064e-06
54, 0.000105576576702, 3.76791564698e-05, 9.58601958723e-06
56, 0.000113381105032, 4.0493190207e-05, 1.03063232921e-05
58, 0.000121445887916, 4.34053262184e-05, 1.10523882819e-05
60, 0.000129768458258, 4.64151166905e-05, 1.18241685203e-05
62, 0.000138346272055, 4.9522098968e-05, 1.26216163911e-05
64, 0.000147176709365, 5.27257956429e-05, 1.34446827024e-05
66, 0.000156257075305, 5.60257146456e-05, 1.42933166899e-05
68, 0.000165584601072, 5.94213493395e-05, 1.51674660211e-05
70, 0.000175156445002, 6.29121786183e-05, 1.60670767995e-05
72, 0.000184969693644, 6.64976670053e-05, 1.69920935683e-05
74, 0.000195021362864, 7.01772647561e-05, 1.79424593149e-05
76, 0.000205308398976, 7.3950407964e-05, 1.89181154754e-05
78, 0.000215827679898, 7.78165186676e-05, 1.99190019389e-05
80, 0.000226576016329, 8.17750049611e-05, 2.09450570524e-05
82, 0.000237550152954, 8.58252611075e-05, 2.19962176251e-05
84, 0.000248746769668, 8.99666676543e-05, 2.30724189338e-05
86, 0.000260162482829, 9.41985915514e-05, 2.41735947274e-05
88, 0.000271793846523, 9.85203862719e-05, 2.52996772323e-05
90, 0.000283637353865, 0.000102931391935, 2.64505971574e-05
92, 0.000295689438305, 0.000107430935432, 2.76262836996e-05
94, 0.000307946474966, 0.000112018330553, 2.88266645493e-05
96, 0.000320404781995, 0.000116692878121, 3.00516658956e-05
98, 0.000333060621941, 0.000121453866119, 3.13012124323e-05
100, 0.000345910203139, 0.00012630056983, 3.25752273634e-05
102, 0.000358949681124, 0.000131232251972, 3.38736324095e-05
104, 0.000372175160056, 0.000136248162838, 3.51963478131e-05
106, 0.000385582694161, 0.000141347540438, 3.65432923453e-05
108, 0.000399168289191, 0.000146529610643, 3.79143833117e-05
110, 0.000412927903898, 0.000151793587332, 3.93095365588e-05
112, 0.000426857451519, 0.00015713867254, 4.07286664806e-05
114, 0.000440952801281, 0.000162564056609, 4.2171686025e-05
116, 0.000455209779916, 0.000168068918337, 4.36385067005e-05
118, 0.000469624173185, 0.000173652425139, 4.51290385828e-05
120, 0.000484191727421, 0.000179313733197, 4.66431903221e-05
122, 0.000498908151075, 0.000185051987625, 4.81808691497e-05
124, 0.000513769116282, 0.000190866322623, 4.97419808852e-05
126, 0.000528770260426, 0.000196755861645, 5.13264299438e-05
128, 0.00054390718772, 0.000202719717558, 5.29341193434e-05
130, 0.000559175470795, 0.000208756992812, 5.45649507122e-05
132, 0.000574570652296, 0.000214866779607, 5.62188242961e-05
134, 0.000590088246478, 0.00022104816006, 5.78956389664e-05
136, 0.000605723740819, 0.000227300206381, 5.95952922273e-05
138, 0.000621472597631, 0.000233621981039, 6.1317680224e-05
140, 0.000637330255676, 0.000240012536942, 6.30626977502e-05
142, 0.000653292131792, 0.000246470917613, 6.48302382567e-05
144, 0.000669353622514, 0.000252996157362, 6.6620193859e-05
146, 0.000685510105701, 0.000259587281472, 6.84324553457e-05
148, 0.00070175694217, 0.000266243306375, 7.02669121868e-05
150, 0.00071808947732, 0.000272963239833, 7.21234525421e-05
152, 0.000734503042767, 0.000279746081127, 7.40019632697e-05
154, 0.000750992957975, 0.000286590821235, 7.59023299345e-05
156, 0.00076755453188, 0.000293496443021, 7.78244368169e-05
158, 0.000784183064525, 0.000300461921423, 7.97681669219e-05
160, 0.00080087384868, 0.000307486223638, 8.17334019875e-05
162, 0.000817622171464, 0.000314568309315, 8.37200224939e-05
164, 0.000834423315969, 0.000321707130742, 8.57279076724e-05
166, 0.000851272562867, 0.000328901633041, 8.77569355148e-05
168, 0.000868165192025, 0.000336150754356, 8.98069827825e-05
170, 0.000885096484103, 0.000343453426054, 9.18779250157e-05
172, 0.000902061722153, 0.000350808572911, 9.39696365429e-05
174, 0.00091905619321, 0.000358215113312, 9.60819904906e-05
176, 0.000936075189869, 0.000365671959448, 9.82148587922e-05
178, 0.000953114011863, 0.00037317801751, 0.000100368112199
180, 0.000970167967625, 0.000380732187889, 0.000102541620287
182, 0.000987232375843, 0.000388333365374, 0.000104735251473
184, 0.001004302567, 0.00039598043935, 0.000106948873015
186, 0.00102137388492, 0.000403672294001, 0.000109182351031
188, 0.00103844168826, 0.000411407808504, 0.000111435550505
190, 0.00105550135207, 0.000419185857239, 0.000113708335297
192, 0.00107254826923, 0.000427005309981, 0.000116000568155
194, 0.00108957785198, 0.000434865032108, 0.000118312110722
196, 0.00110658553336, 0.000442763884803, 0.000120642823551
198, 0.0011235667687, 0.000450700725252, 0.000122992566113
200, 0.00114051703699, 0.000458674406852, 0.000125361196806
202, 0.0011574318424, 0.000466683779412, 0.000127748572968
204, 0.00117430671561, 0.000474727689355, 0.000130154550887
206, 0.00119113721524, 0.000482804979925, 0.000132578985811
208, 0.00120791892919, 0.000490914491388, 0.000135021731961
210, 0.00122464747606, 0.000499055061235, 0.000137482642538
212, 0.00124131850642, 0.000507225524391, 0.000139961569739
214, 0.00125792770416, 0.000515424713412, 0.000142458364761
216, 0.00127447078779, 0.000523651458693, 0.000144972877822
218, 0.00129094351172, 0.000531904588672, 0.000147504958162
220, 0.00130734166752, 0.00054018293003, 0.000150054454061
